id,roll_num,date_str,title,manuscripts,pdf_source,pdf_pages,is_verified,num_stops,year
5699,13,S.d.,"Domino dignissime venerando Lullae episcopo vereor; episcopus Wentanae civitatis Cineheardus indignus, salutem _ ut vestrorum Nomina quoque presbyterorum diaconorumque ac monachorum vel misistis; per monasteria et monacharum sive ceterorum, que per ecclesias nostrae diocesis direximus ad celebrane dum pro eis missarum sollemnia et orationum suffragia. Id ipsum facere vestram sanctitatem suppliciter exoramus 5 pro eis, quorum nomina vobis habemus diri- genda et nominatim cum personis suis 'scribenda, atque huic ecclesiae; cui servio; amicissimi eorum scilicet qui mihi proprie vel subditi fiebant vel prelati . 10 S.d. [774-vers 786] 10 Première formule de bref mortuaire à lusage de Murbach . A. Original perdu. B.Sankt Gallen, Stiftsbibl., 550, P. 149 (IX' &.). a,E. dc Rozière, Formules inédites, publiees &après un ms.de S.Gall, Paris, 1853, p. 22, n"" 30,~b. E. de Rozière, Formules, 2 partie, P. 952, 2"" 680. c. K. Zeumer; Formulae merowingici et 15 karolini aevi ( M. G. H, Leges), P. 331, Formulae Morbacenses, n? 7. IvDIQUÉ M. Rothenhäuser; K. Beyerle, Die Regel des hL. Benedikt, das Gesetz des Inselklosters und scine Veruncklichung % dans Die Kultur der Abtei Reichenau. Erinnerungsschrift zum zwölfhundertsten Wiederkehr des Grundungsjahres des Inselklosters, 724-1924, Munchen, L. 1, 1925, P. 300. 20 Pour K. Zeumer (loc. cil) celte formule peut être placée sous l'abbatiat d'Amico (774-vers 786) .",,Dufour T1 (1),"7,8,9",0,1,
5700,14,S.d.,"ac luce migravit, ut credimus; ad Christum. Qua ex re obnixe obsecramus almita - tem vestram, ut pro ipsius anima sic jubemini seu bonitas agere de psalmis ac missis adque vigiliis ingens vestra consuevit. Obtamus vos semper bene valere. 16 S.d.[789-792 (""] Quatrième formule de bref morluaire à Vusage  de Murbach . A. Original perdu. B. Sankt Gallen; Stiftsbibl , 550, P. 151, sous le titre Indiculum ad cpiscopum $ (IX' &). a. E. de Rozière; Formules inédites, publiées daprès un ms. de S. Gall, Paris, 1853, P. 22, n"" 28. b.E. de Rozière, Formules, 2 partie, P. 950,n* 677.~ c. L. Delisle, Roulcauz des morts du IX' au 10 XVr s  P. 1, n"" [ (l). ~ e K. Zeumer; Formulae merowingici et karolini aevi ( M. G. H , Leges) , p. 332, Formulae Morbacenses; n"" 12.-f H. Leclercq, Rouleaux des morts, col. 48.",,Dufour T1 (1),"9,10",0,0,
5701,15,S.d.,"ac luce migravit, ut credimus; ad Christum. Qua ex re obnixe obsecramus almita - tem vestram, ut pro ipsius anima sic jubemini seu bonitas agere de psalmis ac missis adque vigiliis ingens vestra consuevit. Obtamus vos semper bene valere. 16 S.d.[789-792 (""] Quatrième formule de bref morluaire à Vusage  de Murbach . A. Original perdu. B. Sankt Gallen; Stiftsbibl , 550, P. 151, sous le titre Indiculum ad cpiscopum $ (IX' &). a. E. de Rozière; Formules inédites, publiées daprès un ms. de S. Gall, Paris, 1853, P. 22, n"" 28. b.E. de Rozière, Formules, 2 partie, P. 950,n* 677.~ c. L. Delisle, Roulcauz des morts du IX' au 10 XVr s  P. 1, n"" [ (l). ~ e K. Zeumer; Formulae merowingici et karolini aevi ( M. G. H , Leges) , p. 332, Formulae Morbacenses; n"" 12.-f H. Leclercq, Rouleaux des morts, col. 48.",,Dufour T1 (1),"9,10",0,0,
5702,16,S.d.,"ac luce migravit, ut credimus; ad Christum. Qua ex re obnixe obsecramus almita - tem vestram, ut pro ipsius anima sic jubemini seu bonitas agere de psalmis ac missis adque vigiliis ingens vestra consuevit. Obtamus vos semper bene valere. 16 S.d.[789-792 (""] Quatrième formule de bref morluaire à Vusage  de Murbach . A. Original perdu. B. Sankt Gallen; Stiftsbibl , 550, P. 151, sous le titre Indiculum ad cpiscopum $ (IX' &). a. E. de Rozière; Formules inédites, publiées daprès un ms. de S. Gall, Paris, 1853, P. 22, n"" 28. b.E. de Rozière, Formules, 2 partie, P. 950,n* 677.~ c. L. Delisle, Roulcauz des morts du IX' au 10 XVr s  P. 1, n"" [ (l). ~ e K. Zeumer; Formulae merowingici et karolini aevi ( M. G. H , Leges) , p. 332, Formulae Morbacenses; n"" 12.-f H. Leclercq, Rouleaux des morts, col. 48.",,Dufour T1 (1),"9,10",0,0,
5703,17,S.d.,"ac luce migravit, ut credimus; ad Christum. Qua ex re obnixe obsecramus almita - tem vestram, ut pro ipsius anima sic jubemini seu bonitas agere de psalmis ac missis adque vigiliis ingens vestra consuevit. Obtamus vos semper bene valere. 16 S.d.[789-792 (""] Quatrième formule de bref morluaire à Vusage  de Murbach . A. Original perdu. B. Sankt Gallen; Stiftsbibl , 550, P. 151, sous le titre Indiculum ad cpiscopum $ (IX' &). a. E. de Rozière; Formules inédites, publiées daprès un ms. de S. Gall, Paris, 1853, P. 22, n"" 28. b.E. de Rozière, Formules, 2 partie, P. 950,n* 677.~ c. L. Delisle, Roulcauz des morts du IX' au 10 XVr s  P. 1, n"" [ (l). ~ e K. Zeumer; Formulae merowingici et karolini aevi ( M. G. H , Leges) , p. 332, Formulae Morbacenses; n"" 12.-f H. Leclercq, Rouleaux des morts, col. 48.",,Dufour T1 (1),"9,10,11",0,0,
5704,18,S.d.,"19 19 S.d. [début IX"" a ] Formule de bref mortuaire à lusage de Reichenau  A. Original perdu.","B. Karlsruhe; Badische LandesbibL , 112, fol. Illv a. E.de Rozière; Formules, 2 partie; P. 953,n"" 684. b.L. Delisle, Rouleaux XV"" s. , P. 2, n? IL. des morts du IX' au c. K. Zeumer; Formulae P. 347, n"" 21 (éd. incomplète). merowingici et karolini aevi (M. G.H, Leges),",Dufour T1 (1),"10,11",0,0,
5705,19,S.d.,"19 19 S.d. [début IX"" a ] Formule de bref mortuaire à lusage de Reichenau  A. Original perdu.","B. Karlsruhe; Badische LandesbibL , 112, fol. Illv a. E.de Rozière; Formules, 2 partie; P. 953,n"" 684. b.L. Delisle, Rouleaux XV"" s. , P. 2, n? IL. des morts du IX' au c. K. Zeumer; Formulae P. 347, n"" 21 (éd. incomplète). merowingici et karolini aevi (M. G.H, Leges),",Dufour T1 (1),"10,11",0,0,
5706,20,S.d.,"19 19 S.d. [début IX"" a ] Formule de bref mortuaire à lusage de Reichenau  A. Original perdu.","B. Karlsruhe; Badische LandesbibL , 112, fol. Illv a. E.de Rozière; Formules, 2 partie; P. 953,n"" 684. b.L. Delisle, Rouleaux XV"" s. , P. 2, n? IL. des morts du IX' au c. K. Zeumer; Formulae P. 347, n"" 21 (éd. incomplète). merowingici et karolini aevi (M. G.H, Leges),",Dufour T1 (1),"10,11,12,13,14",0,0,
5707,21,S.d.,(archevêques; évêques) 'qui iinstaurent cette pratique ; le la mesure_ monde des clercs réguliers n'cst _ 'qu' 'associé à,,Dufour T1 (1),"12,13,14",0,0,
5708,23,S.d.,(archevêques; évêques) 'qui iinstaurent cette pratique ; le la mesure_ monde des clercs réguliers n'cst _ 'qu' 'associé à,,Dufour T1 (1),"12,13,14,15",0,0,
